word,frequency,length
கல்வி,78674,3
சமூக,78338,3
அதில்,78251,3
ஆனந்த்,77999,4
நன்றி,76646,3
ஜானகிராமன்,75989,6
இந்தியா,75270,4
இன்னும்,75151,4
இதன்,74608,3
பயணம்,74377,4
எனவே,74083,3
அவள்,73908,3
உள்ளிட்ட,73725,5
மூன்று,73262,3
தேர்தல்,72745,4
இவர்க,72580,4
பெண்,72397,2
உள்ளன,72318,4
இரு,71272,2
வது,71179,2
கதையை,70027,3
அனைத்து,69964,4
ஒரே,69759,2
முடியாது,69581,4
அகிலன்,69334,4
போல,69306,2
தேவி,69296,2
கோயில்,69180,3
வேலை,68949,2
வகையில்,68942,4
இந்தப்,68910,4
துறை,68850,2
அப்போது,68772,4
படம்,68740,3
பகுதியில்,68082,5
அடுத்த,68063,4
முறை,68004,2
வேறு,67848,2
இப்போது,67517,4
தேசிய,67503,3
ஒவ்வொரு,66720,4
கோடி,66316,2
செந்தில்,66049,4
வைத்து,65701,3
ஒருவர்,65140,4
பாலா,64970,2
அதிக,64891,3
உங்கள்,64843,4
நீங்கள்,64804,4
வரலாறு,64783,4
மீண்டும்,64621,4
ராமசாமி,64485,4
முக்கிய,64449,4
மிக,64448,2
வெற்றி,64348,3
தொழில்,63448,3
அமைச்சர்,63307,5
இல்,63304,2
சிறு,62832,2
மாவட்டம்,62738,5
கு,62531,1
எல்லாம்,62527,4
அறிமுகம்,62465,5
நிலைமை,62307,3
வா,62285,1
செ,62103,1
அதே,61576,2
வளர்ச்சி,61459,5
பின்,61384,2
மாநில,61216,3
ரா,60913,1
தமிழகம்,60522,5
இவர்கள்,60459,5
விட்டு,60450,3
இதை,60270,2
இந்நிலையில்,60152,6
பெயர்,60146,3
பாபு,59942,2
செய்வதற்கு,59903,6
எழுதுவது,59844,5
முதல்வர்,59758,5
மாமா,59756,2
அறிவு,59635,3
செய்யும்,59491,4
மொத்த,59477,3
காரணம்,59220,4
அசோகன்,59217,4
பார்வையிட்டோர்,59092,7
முன்,59060,2
நிலை,59002,2
உடல்,58704,3
அறிஞர்,58499,4
ஜி,58346,1
அவளின்,58290,4
கதவு,58141,3
கதையாசிரியர்,58028,7
ஏன்,57876,2
தினவார,57763,4
விளம்பரம்,57673,6
அதற்கு,57652,4
பக்க,57349,3
தமிழ்க்,57146,4
மாவட்ட,56581,4
உண்டு,56256,3
மகரந்தம்,56135,6
அமைந்துள்ள,56000,6
மேல்,55957,2
காலை,55514,2
தொகை,55323,2
காரணமாக,55225,5
எழுத்தாளர்கள்,54939,8
செய்த,54908,3
அமெரிக்க,54342,5
இடம்,54190,3
அன்று,54095,3
நம்,53934,2
செல்லப்பா,53916,5
மேகம்,53828,3
நடவடிக்கை,53731,6
பதிப்புக்,53715,5
வடு,53594,2
மெல்லத்,53546,4
கலைந்த,53424,4
வந்தது,53349,4
ஆறாத,53261,3
பெரும்,53257,3
துறந்தது,53119,5
வனப்பு,53025,4
பதிலுக்காக,53023,6
எய்தவன்,52930,5
அருண்,52896,3
போல்,52859,2
பேய்தான்,52840,4
சுப்ரமண்யம்,52823,7
ரோசக்காரி,52789,5
பதிவு,52555,3
சுரேஷ்,52314,3
கலந்து,52278,4
அளவில்,52208,4
முழுவதும்,52120,5
ஆய்வு,52042,3
கைது,51939,2
முன்னாள்,51616,4
லட்சம்,51477,4
நிறுவனம்,51466,5
கட்சி,51317,3
இங்கு,50995,3
ரகுநாத்,50906,4
மாவட்டத்தில்,50713,7
கதைத்தொகுப்பு,50586,7
முடிவு,50380,3
தொடர்பாக,50359,5
ஆசிரியர்,50284,5
அனுபவம்,50181,5
பாலசுப்பிரமணியம்,49977,10
சுமார்,49914,3
ஆண்டில்,49834,4
பிரதமர்,49446,5
வேண்டிய,49436,4
ரூபாய்,49365,3
அணி,49354,2
தத்துவம்,49239,5
அங்கு,49213,3
இதற்கு,49104,4
நாட்டுப்புறக்,49097,7
நிதி,49050,2
இணையக்,49045,4
நோட்ஸ்,48888,3
விஜய்,48820,3
அப்பாவாக்கும்,48761,7
முகப்பு,48747,4
கல்விக்கழகம்,48734,8
காலத்தில்,48725,5
படிக்கப்பட்ட,48688,8
அவருக்கு,48652,5
தங்கள்,48629,4
எனது,48033,3
பெருமாள்,47982,4
என்னை,47979,3
எனும்,47922,3
எழுதிய,47888,4
வகை,47864,2
சுட்டி,47712,3
கிருஷ்ண,47663,4
காங்கிரஸ்,47533,5
குறித்த,47422,4
இந்து,47189,3
இலங்கை,47175,4
தமிழ்நாடு,47072,5
உள்ளனர்,46972,5
சார்பில்,46878,4
மனித,46852,3
எடுத்து,46815,4
பகுதி,46806,3
பெற்ற,46705,3
அறிக்கை,46604,4
எத்தனை,46567,4
இந்தக்,46494,4
விட,46424,2
இளம்,46361,3
முதலில்,46273,4
கிரிக்கெட்,46136,5
மனசு,45883,3
ரமேஷ்,45883,3
ஆயிரம்,45879,4
கிடைக்கும்,45823,5
வைத்தியநாதன்,45821,7
அதனால்,45753,4
ராஜேந்திரன்,45560,6
இவ்வாறு,45553,4
காலம்,45514,3
கொள்ள,45418,3
விலை,45388,2
மொழிபெயர்ப்பு,45378,7
அரசின்,45256,4
பேராசிரியர்,45200,6
வார,45063,2
உயர்,45049,3
யார்,45018,2
பேரும்,44848,3
பற்றிய,44723,4
பார்த்து,44634,4
குரு,44621,2
நடந்த,44526,4
பணம்,44441,3
குழந்தை,44250,4
அவரை,43994,3
வயது,43928,3
விளக்கம்,43873,5
தலைமை,43772,3
சிறந்த,43736,4
பாதுகாப்பு,43646,5
தெரிவித்துள்ளார்,43636,8
மற்ற,43399,3
அதிகாரிகள்,43261,6
வருகின்றனர்,42880,7
அந்தப்,42856,4
நம்பி,42747,3
தின,42708,2
தெரிவித்தார்,42628,6
இடத்தில்,42538,5
போறேன்,42533,3
நேரத்தில்,42493,5
வழக்கு,42483,4
சோ,42393,1
சினிமா,42324,3
ஜெயகாந்தன்,42214,6
தமிழகத்தில்,42065,7
ஆகியோர்,41917,4
அவை,41906,2
தவிர,41898,3
செய்தி,41654,3
கிருஷ்ணன்,41638,5
இல்லாமல்,41479,5
நாங்கள்,41282,4
மாணவர்கள்,41043,6
இவை,41010,2
கலைச்செல்வி,40873,6
அருகே,40782,3
நடிகையாகப்,40722,6
ஏற்படும்,40655,5
அல்ல,40618,3
சுப்புராஜ்,40541,5
அடையாளம்,40443,5
இரவு,40367,3
குறிப்புகள்,40364,6
செய்யவும்,40352,5
நமது,40274,3
செல்லும்,40252,4
அவர்களின்,40210,6
விசாரணை,40185,4
புத்தக,40185,4
கூறினார்,40124,4
பன்னாட்டு,40032,5
மின்,39934,2
பதில்,39926,3
ராகவ்,39885,3
இந்தியாவில்,39857,6
குடும்ப,39677,4
சித்ரன்,39584,4
கவிதைகள்,39482,5
முன்பு,39211,3
நான்கு,39116,3
அம்மா,39114,3
மாலை,39061,2
அமானுஷம்,39043,5
கூடாது,39041,3
தினகரன்,39016,5
தமிழ்த்,38998,4
நாராயணன்,38995,5
சட்டம்,38992,4
இருந்தாலும்,38991,6
பள்ளி,38987,3
மக்களின்,38889,5
எது,38846,2
அமைந்துள்ளது,38794,7
கொஞ்சம்,38485,4
பிரபு,38470,3
கள,38430,2
இதுவரை,38252,4
படத்தில்,38174,5
சுந்தர,38166,4
பதிவுகள்,38099,5
அடிப்படையில்,37808,7
பெற்று,37729,3
திமுக,37723,3
உளவியல்,37719,5
மனிதன்,37697,4
செல்வன்,37569,4
சரி,37339,2
ரயில்,37292,3
புதுமைப்பித்தன்,37252,8
இக்கோயில்,37229,5
எதிராக,37222,4
சுந்தர்,37140,4
மாதத்தில்,37046,5
செயலாளர்,36959,5
இடங்களில்,36753,6
தேர்தலில்,36711,5
முறையில்,36624,4
போய்,36580,2
கிரைம்,36528,3
முந்தைய,36499,4
இலக்கிய,36476,5
வெ,36366,1
மாதிரி,36298,3
தனியார்,36161,4
பொது,36117,2
காந்தி,36116,3
அப்படி,36101,4
அந்தக்,36067,4
பார்க்க,36048,4
இலவசக்,35912,5
வெளியே,35880,3
பணி,35853,2
ஜெயந்தி,35793,4
நின்று,35729,3
நடந்து,35643,4
இருந்தால்,35643,5
எழுத்தாளர்,35539,6
சிவகுமார்,35457,5
இணைந்து,35443,4
இந்தியாவின்,35375,6
பார்த்தசாரதி,35205,7
நாடு,35083,2
திரைப்பட,35066,5
உதவி,35059,3
சொல்லி,35053,3
திருப்பம்,35014,5
அதாவது,34880,4
வர,34858,2
தொடர்கள்,34746,5
பொறுப்பு,34679,4
வேலைவாய்ப்பு,34657,6
மனைவி,34642,3
சொல்ல,34611,3
ராணி,34451,2
இல்லாத,34449,4
எல்லா,34424,3
சரஸ்வதி,34319,5
விகடன்,34316,4
பயிற்சி,34219,4
உணவு,34217,3
நந்தகுமார்,34174,6
சிகிச்சை,34093,4
போட்டியில்,34038,5
கை,33954,1
நாட்டின்,33953,4
தாக்கல்,33918,4
மொழிபெயர்ப்புக்,33904,8
முருகன்,33892,4
ரஞ்சனி,33888,4
ஐ,33677,1
முன்னோட்டம்,33663,6
கைச்சிட்டா,33634,5
நடைபெற்ற,33600,5
சென்டிமென்ட்,33592,6
மணிக்கு,33519,4
வாரணாசி,33460,4
தினமலர்,33393,5
சிவா,33334,2
சிலர்,33330,3
தினமணி,33180,4
பட்டியல்,33149,5
சென்னையில்,33132,5
தேவை,33115,2
தமிழ்ச்,33057,4
பகுதிகளில்,33052,6
வாழ்க்கை,33052,4
சாந்தி,33051,3
இதயம்,32864,4
செல்ல,32800,3
ஏ,32797,1
வருகிறார்,32764,5
இயற்கை,32745,4
நாகலட்சுமி,32731,6
ஆக,32659,2
அருகில்,32632,4
பலர்,32602,3
பாஜக,32556,3
ஜெயலலிதா,32505,5
கருத்து,32503,4
நடந்தது,32499,5
தடை,32495,2
மோடி,32461,2
அளவு,32448,3
எங்கள்,32435,4
மொத்தம்,32336,4
என்பதால்,32294,5
த்ரில்லர்,32237,5
அவர்களுக்கு,32230,7
துணை,32164,2
மதுரை,32145,3
பொருள்,32132,3
அனைவரும்,32029,5
கலை,32017,2
இயக்குநர்,32009,6
சர்வதேச,32008,5
தொகுதிக்கும்,31964,6
கல்கி,31878,3
அவருடைய,31858,5
பழைய,31800,3
சந்தோஷ்,31783,4
அச்செடு,31771,4
எடுக்க,31754,4
சென்ற,31753,3
சிறிய,31622,3
குமுதம்,31611,4
திருமணம்,31548,5
குழந்தைகள்,31500,6
நாவல்,31452,3
வாய்ப்பு,31442,4
குறிப்பிடத்தக்கது,31432,10
காவல்,31324,3
தேவன்,31314,3
உஷா,31309,2
கட்சியின்,31277,5
நடிகர்,31267,4
படத்தின்,31243,5
இவரது,31226,4
விமர்சனம்,31209,6
பெற,31127,2
தமிழின்,31127,4
நிறைய,31126,3
பாலியல்,31086,4
கேள்வி,31038,3
விளையாட்டு,30911,5
சிவக்குமார்,30896,6
ஐந்து,30869,3
மகன்,30855,3
அண்ணாதுரை,30790,5
இதனை,30785,3
இந்தத்,30697,4
கோவை,30581,2
பொன்,30524,2
காயம்,30489,3
அதிமுக,30469,4
தமிழ்நாட்டில்,30455,7
ஈழத்,30447,3
என்கிற,30403,4
அளவுக்கு,30376,5
நீர்,30362,2
வழி,30325,2
நாயர்,30312,3
சரித்திர,30306,5
கூட்டம்,30294,4
கொடுத்து,30216,4
ஆன்மிகக்,30187,5
ரவி,30166,2
இதுகுறித்து,30121,6
உத்தி,30090,3
நீதிமன்றம்,30084,6
குப்புசாமி,30079,5
முனைவர்,30074,4
கூறுகள்,30034,4
முறைகள்,30004,4
நோக்கி,30002,3
அன்பரசு,29955,5
நெய்வேலி,29951,4
பேசுகிறது,29931,5
திட்டம்,29929,4
கல்லூரி,29885,4
மருத்துவ,29865,5
தென்றல்,29803,4
உலகக்,29803,4
பதில்கள்,29767,5
சுதாராஜ்,29748,4
விதிமுறை,29734,4
உட்பட,29695,4
பக்கம்,29681,4
திரைப்படம்,29670,6
சடகோபன்,29663,5
ஊரில்,29648,3
இமையம்,29621,4
சந்திரவதனா,29610,7
குறிப்பாக,29536,5
முருகவேல்,29528,5
செல்வகுமாரன்,29505,7
புனைவு,29471,3
இராஜன்,29469,4
ஜகந்நாதன்,29452,6
சாவி,29441,2
கமலாதேவி,29425,5
செய்தார்,29371,4
சந்திரசேகரன்,29371,8
வாசுதேவன்,29358,5
கலைவேந்தன்,29356,6
வவுனியன்,29349,5
அகணி,29342,3
இருவரும்,29327,5
சுப்ரஜா,29307,4
சேர்ந்து,29277,4
தொடர்பான,29269,5
ஆண்கள்,29194,4
ஆறு,29172,2
மொழி,29126,2
வீட்டில்,29120,4
போலீஸார்,29118,4
செய்தல்,29109,4
ராம்,29092,2
கொண்டுள்ளது,29044,6
ஆட்சி,29016,3
பாக்யா,29011,3
ரமணன்,29005,4
தினத்தந்தி,28983,6
அகிலாண்டேஸ்வரி,28930,8
சிறுகதைகளில்,28907,7
திருக்குறள்,28887,6
அனுராதா,28880,4
யாரும்,28879,3
முருகானந்தம்,28846,7
வரி,28796,2
கலைஞரும்,28776,5
நடத்தி,28773,4
அகமும்,28742,4
சேவைக்கான,28701,5
அகில்,28688,3
செய்திகள்,28687,5
ராஜகுமாரன்,28662,6
அவர்களை,28659,5
தண்ணீர்,28657,4
சிறுகதைகளும்,28653,7
உச்ச,28561,3
சிறுகதைக்கு,28530,6
அயல்நாடுகளில்,28523,8
சௌந்தர்ராஜன்,28513,7
ஞானசம்பந்தன்,28509,8
அர்ஷியா,28491,4
தாலமி,28488,3
அஜயன்,28484,4
எழுதலாமா,28479,5
அமானுல்லா,28438,5
சுஜின்,28436,3
மின்கவி,28423,4
உருவம்தான்,28420,6
அனுத்தமா,28402,5
ராமன்ஜி,28394,4
அகஸ்தியன்,28393,6
சிறுகதைக்,28381,5
படிப்பவனுக்கு,28372,8
கமலப்பித்தன்,28370,8
பிறந்த,28366,4
இந்திராபார்த்தசாரதி,28361,11
சிறுகதையாற்றுப்படை﻿,28356,10
மனம்,28320,3
சார்ந்த,28187,4
குறிப்பிட்ட,28121,6
போட்டி,28103,3
வருகின்றன,28050,6
இங்கே,28045,3
நம்பிக்கை,28025,5
வாசல்,28014,3
உன்,27990,2
உறவுகள்,27981,5
எனவும்,27850,4
உடனே,27812,3
எவ்வளவு,27811,5
இன்றைய,27808,4
வழக்கில்,27705,5
நூலகம்,27684,4
விற்பனை,27652,4
கூடிய,27582,3
வந்தார்,27546,4
கொலை,27540,2
தெரியும்,27511,4
நாட்கள்,27485,4
தமிழன்,27482,4
பிற,27474,2
பிரசாத்,27446,4
அதிகமாக,27427,5
வாசகர்கள்,27421,6
கூறி,27419,2
எதுவும்,27399,4
வீடு,27378,2
வேண்டாம்,27325,4
கால,27321,2
கிருஷ்ணா,27278,4
போட்டு,27275,3
முடியாத,27269,4
அமைப்பு,27256,4
அதனை,27216,3
நீ,27205,1
மேற்பட்ட,27190,5
இடையே,27132,3
நாட்டில்,27073,4
கண்டு,27061,3
உள்ளே,27016,3
கர்நாடக,26988,5
விழா,26924,2
உற்பத்தி,26921,5
வைரமுத்து,26910,5
அனுமதி,26899,4
கடன்,26787,3
முடியவில்லை,26780,6
திருவாரூர்,26746,5
எனக்,26715,3
வேளாண்மை,26704,4
போதும்,26667,3
இன்னொரு,26642,4
உலகம்,26619,4
கடைசி,26616,3
பரவும்,26608,4
கூறியுள்ளார்,26472,6
ஆண்டுகள்,26453,5
நானும்,26430,3
இருப்பது,26378,5
நிறுவனங்கள்,26363,7
முழு,26331,2
ஓவியம்,26290,4
தனி,26232,2
நீதிபதி,26231,4
இக்கோயிலில்,26218,6
வில்லியம்,26212,5
தொகுப்புகள்,26205,6
எல்,26195,2
காம்,26193,2
ராஜேஷ்,26181,3
இரண்டாம்,26161,5
ராமகிருஷ்ணன்,26130,7
அதிகாரி,26107,4
விரைவில்,26102,4
சொடுக்கவும்,26032,6
உடனடியாக,26000,6
தேவையான,25973,4
மறுவினை,25945,4
நிறுவனத்தின்,25917,7
புறமும்,25917,4
அடுத்து,25866,4
செய்வது,25863,4
கடும்,25840,3
செய்தியோடை,25839,5
கீழ்,25826,2
தரும்,25822,3
மக்களுக்கு,25761,6
வித்யாசாகர்,25761,6
போராட்டம்,25754,5
சட்டமன்றத்,25746,7
அண்ணாவின்,25652,5
ஜெயக்குமார்,25647,6
புகார்,25563,3
எதுவுமில்லை,25553,6
நடைபெறும்,25524,5
ஆறுமுகம்,25501,5
தொடர்பு,25467,4
எழுத்துப்,25456,5
மனு,25453,2
எனினும்,25407,4
பெயரில்,25358,4
களஞ்சியம்,25348,6
இதையடுத்து,25329,6
சேர்த்து,25280,4
நடேசன்,25272,4
இரண்டாவது,25216,6
மணிகள்,25094,4
ஆட்சேபம்,25083,5
செந்தமிழ்,25055,5
ராஜேஷ்குமார்,25012,6
பாலசுப்பிமணியம்,25006,9
மாலன்,25003,3
பொதுவாக,24997,4
செய்தனர்,24991,5
டாக்டர்,24930,4
முகவரி,24909,4
பாஸ்கர்,24900,4
குழந்தைகளுக்காக,24898,9
நடைபெற்றது,24880,6
செம்பியன்,24847,5
இருந்தார்,24817,5
இனி,24788,2
நன்றியுடன்,24769,6
உண்மை,24758,3
உமா,24756,2
மணிகண்டன்,24750,6
விட்டது,24720,4
புரியும்படி,24663,6
அழகிரிசாமி,24663,6
ஆர்க்,24617,3
சுடர்கள்,24598,5
சிலிகான்,24584,4
அழியாச்,24566,4
சாளரம்,24552,4
தலைநிமிர்ந்து,24550,7
உலகமெல்லாம்,24548,7
ஒளவையார்,24520,5
தினுசு,24510,3
பகிர்வுகள்,24496,6
கடமைக்கு,24481,5
தமிழோசை,24478,4
அறிவிப்பு,24462,5
ஏற்பட்ட,24454,5
பொருளடக்கம்,24441,7
அம்புலிமாமா,24431,6
நமக்கு,24422,4
முக்கியமான,24412,6
வித்யாசாகரின்,24409,7
கோடியாய்,24396,4
கிடைக்கையில்,24385,6
சொல்லடா,24367,4
செய்யப்பட்ட,24366,7
காஷ்யபன்,24357,5
இணையவழியில்,24354,7
சமையல்குறிப்பு,24354,8
நில்லடா,24350,4
கோசலா,24349,3
தேமதுரத்,24349,5
ஷெல்ஃப்,24345,4
பதவி,24340,3
கதைகள்தாம்,24331,6
அடி,24329,2
அப்படியே,24324,5
ஜாதகா,24324,3
நன்றிசொன்னேன்,24323,7
கிறுக்கியதை,24321,6
கொட்டிக்கொட்டி,24321,7
குவிக்கின்றேன்,24321,7
மாற்தட்டி,24320,5
சேர்ந்தது,24306,5
வங்கி,24296,3
பாடல்,24247,3
கேட்டு,24242,3
உலகச்,24226,4
எதிரான,24195,4
லதா,24166,2
மக்களவைத்,24124,6
தந்தை,24109,3
நீதிமன்றத்தில்,24097,8
இவற்றில்,24096,5
இதே,24086,2
பால்,24073,2
சூழலியல்,24037,5
வழங்க,24035,4
நோய்,24008,2
மயிலாடுதுறை,24001,6
மதி,23992,2
வழியாக,23989,4
தலைமையில்,23984,5
அம்பை,23959,3
அண்ணாமலை,23950,5
குறைந்த,23943,4
வில்லியம்ஸ்,23939,6
கையில்,23923,3
பொருளாதார,23912,5
எண்ணிக்கை,23825,5
என்கிறார்,23776,5
ஆதவன்,23750,4
கிடையாது,23714,4
சரியான,23664,4
உரிமை,23647,3
தமது,23635,3
சுயசரிதை,23624,5
நடக்கும்,23605,5
க்கும்,23599,3
உரிய,23596,3
தன்னை,23579,3
அமர்நாத்,23543,5
தெரியவில்லை,23528,6
ஏதோ,23498,2
கூடுதல்,23497,4
நகரில்,23469,4
நாளை,23453,2
சேவை,23421,2
பாகிஸ்தான்,23398,5
ஐக்கிய,23381,4
மருத்துவக்,23345,6
சாலை,23341,2
அருணாசலம்,23318,6
க,23317,1
வேணுகோபால்,23314,5
ஜே,23294,1
கிழக்கு,23282,4
சுப்ரமணியம்,23272,7
ஏற்பட்டது,23262,6
போர்,23228,2
ஒன்றை,23224,3
உறுதி,23180,3
கோரி,23172,2
நடத்த,23158,4
அழகர்சாமி,23156,6
கிலோ,23108,2
தொடர்,23097,3
கோப்பின்,23096,4
அவசியம்,23081,5
பத்மநாபன்,23077,6
உங்களுக்கு,23074,6
மாற்றம்,23073,4
கள்,23031,2
லெ,22956,1
மூர்,22927,2
இருக்கலாம்,22925,6
கடல்,22823,3
ராஜகோபாலன்,22817,6
சதவீதம்,22769,5
சுசித்ரா,22768,4
இருக்கின்றன,22688,7
சற்று,22595,3
ரன்கள்,22568,4
செயல்,22538,3
ஃபிலிப்,22520,4
எடுத்துக்,22514,5
அங்கே,22455,3
ஆண்டுகளுக்கு,22438,7
என்றான்,22421,4
ஆதரவு,22381,4
கொண்டே,22367,3
சதானந்தன்,22342,6
தாமரைக்கண்ணன்,22342,8
மூத்த,22333,3
நூற்றாண்டைச்,22301,6
பிரிவு,22296,3
ஜானதன்,22291,4
படைப்புகளும்,22283,7
சிங்,22218,2
அதிபர்,22214,4
தமிழில்,22189,4
படி,22152,2
பாடல்கள்,22134,5
பணிகள்,22129,4
மத்தியில்,22114,5
இருக்கிறார்,22097,6
கா,22066,1
மேலாண்மை,22065,4
பகுப்புகளும்,21993,7
இவர்களில்,21977,6
கூறப்படுகிறது,21924,8
இருப்பதால்,21916,6
ஆண்டுகளில்,21911,6
ஆவார்,21816,3
என்பவர்,21797,5
இந்தச்,21690,4
குரல்,21679,3
செய்தது,21662,4
விடுதலை,21587,4
நல்லது,21585,4
ரகசியம்,21583,5
சம்பவம்,21571,5
கூட்டணி,21549,4
கொண்டது,21544,4
மன,21529,2
தென்,21478,2
எதிர்ப்பு,21402,5
மீதான,21364,3
உயிர்,21354,3
முயற்சி,21297,4
தண்டனை,21272,4
பத்து,21268,3
டெல்லி,21240,3
தன்னுடைய,21215,5
பயன்படுத்தி,21137,7
கோவில்,21084,3
படத்தை,21069,4
என்றாலும்,21063,5
வல்லிக்கண்ணன்,21043,8
உறுப்பினர்,21032,6
விவசாயிகள்,20997,6
தொடங்கி,20987,4
தர,20968,2
நாடுகளில்,20944,5
தமிழ்நாட்டின்,20872,7
அமெரிக்கா,20866,5
சமூகம்,20843,4
எண்,20738,2
நகர்,20717,3
கண்,20657,2
நடைபெறுகிறது,20651,7
சட்ட,20622,3
மருத்துவர்,20615,6
அடிக்கடி,20611,5
மருத்துவமனையில்,20599,9
நிலையம்,20562,4
அஞ்சலி,20559,4
மன்ற,20550,3
தினமும்,20548,4
நூல்,20536,2
எப்போதும்,20524,5
விமான,20522,3
வாழும்,20471,3
நாட்டு,20470,3
கடலூர்,20465,4
நாடுகள்,20440,4
தகவல்கள்,20423,6
இறுதி,20407,3
கவசக்,20403,4
கோன்மை,20401,3
சிறிது,20334,3
மிகுந்த,20331,4
மாநிலம்,20307,4
நீண்ட,20261,3
வெறும்,20258,3
பூசை,20246,2
ஈரோடு,20246,3
மோட்டார்,20242,4
பணியில்,20237,4
மருத்துவம்,20207,6
ஆனாலும்,20174,4
உள்ளார்,20134,4
ஏதாவது,20098,4
தாக்குதல்,20081,5
ஏற்கெனவே,20041,5
அனைத்தும்,19973,5
ஆகியவை,19955,4
எழுதி,19900,3
சொந்த,19894,3
கூட்டத்தில்,19889,6
கடவுள்,19836,4
கார்,19810,2
அரசுக்கு,19776,5
ஊராட்சியில்,19734,6
வகுப்பு,19727,4
தொகுதி,19688,3
இத்தகைய,19678,5
ரொம்ப,19617,3
போக்குவரத்து,19617,7
அடிப்படை,19615,5
வசதி,19586,3
விருது,19580,3
பெற்றது,19565,4
நீதிமன்ற,19555,5
முறையாக,19541,4
சிறப்பாக,19512,5
