word,frequency,length,category,tag_detail
அளவு,32448,3,NOUN,NOMINAL_SUFFIX_வு
மொத்தம்,32336,4,NOUN,BASE_NOUN_CONSONANT_ம்
பொருள்,32132,3,NOUN,BASE_NOUN_CONSONANT_ள்
திருமணம்,31548,5,NOUN,BASE_NOUN_CONSONANT_ம்
நாவல்,31452,3,NOUN,BASE_NOUN_CONSONANT_ல்
வாய்ப்பு,31442,4,NOUN,NOMINAL_SUFFIX_பு
காவல்,31324,3,NOUN,BASE_NOUN_CONSONANT_ல்
நடிகர்,31267,4,NOUN,KNOWN_BASE_NOUN
பாலியல்,31086,4,NOUN,BASE_NOUN_CONSONANT_ல்
கேள்வி,31038,3,NOUN,BASE_NOUN
விளையாட்டு,30911,5,NOUN,NOMINAL_SUFFIX_டு
மகன்,30855,3,NOUN,BASE_NOUN_CONSONANT_ன்
காயம்,30489,3,NOUN,BASE_NOUN_CONSONANT_ம்
கூட்டம்,30294,4,NOUN,BASE_NOUN_CONSONANT_ம்
முனைவர்,30074,4,NOUN,BASE_NOUN_CONSONANT_ர்
கூறுகள்,30034,4,NOUN,BASE_NOUN_CONSONANT_ள்
முறைகள்,30004,4,NOUN,BASE_NOUN_CONSONANT_ள்
திட்டம்,29929,4,NOUN,BASE_NOUN_CONSONANT_ம்
கல்லூரி,29885,4,NOUN,BASE_NOUN_VOWEL_ரி
தென்றல்,29803,4,NOUN,BASE_NOUN_CONSONANT_ல்
பதில்கள்,29767,5,NOUN,BASE_NOUN_CONSONANT_ள்
பக்கம்,29681,4,NOUN,BASE_NOUN_CONSONANT_ம்
இமையம்,29621,4,NOUN,BASE_NOUN_CONSONANT_ம்
புனைவு,29471,3,NOUN,NOMINAL_SUFFIX_வு
ஆண்கள்,29194,4,NOUN,BASE_NOUN_CONSONANT_ள்
செய்தல்,29109,4,NOUN,NOMINAL_SUFFIX_தல்
ஆட்சி,29016,3,NOUN,NOMINAL_SUFFIX_சி
செய்திகள்,28687,5,NOUN,BASE_NOUN_CONSONANT_ள்
தண்ணீர்,28657,4,NOUN,BASE_NOUN_CONSONANT_ர்
மனம்,28320,3,NOUN,BASE_NOUN_CONSONANT_ம்
போட்டி,28103,3,NOUN,BASE_NOUN
நம்பிக்கை,28025,5,NOUN,KNOWN_BASE_NOUN
வாசல்,28014,3,NOUN,BASE_NOUN_CONSONANT_ல்
உறவுகள்,27981,5,NOUN,BASE_NOUN_CONSONANT_ள்
நூலகம்,27684,4,NOUN,BASE_NOUN_CONSONANT_ம்
நாட்கள்,27485,4,NOUN,BASE_NOUN_CONSONANT_ள்
தமிழன்,27482,4,NOUN,BASE_NOUN_CONSONANT_ன்
அமைப்பு,27256,4,NOUN,NOMINAL_SUFFIX_பு
அனுமதி,26899,4,NOUN,NOMINAL_SUFFIX_தி
கடன்,26787,3,NOUN,BASE_NOUN_CONSONANT_ன்
வேளாண்மை,26704,4,NOUN,NOMINAL_SUFFIX_மை
உலகம்,26619,4,NOUN,BASE_NOUN_CONSONANT_ம்
ஆண்டுகள்,26453,5,NOUN,BASE_NOUN_CONSONANT_ள்
ஓவியம்,26290,4,NOUN,BASE_NOUN_CONSONANT_ம்
நீதிபதி,26231,4,NOUN,NOMINAL_SUFFIX_தி
அதிகாரி,26107,4,NOUN,NOMINAL_SUFFIX_காரி
போராட்டம்,25754,5,NOUN,BASE_NOUN_CONSONANT_ம்
புகார்,25563,3,NOUN,BASE_NOUN_CONSONANT_ர்
தொடர்பு,25467,4,NOUN,NOMINAL_SUFFIX_பு
மணிகள்,25094,4,NOUN,BASE_NOUN_CONSONANT_ள்
ஆட்சேபம்,25083,5,NOUN,BASE_NOUN_CONSONANT_ம்
செந்தமிழ்,25055,5,NOUN,BASE_NOUN_CONSONANT_ழ்
முகவரி,24909,4,NOUN,BASE_NOUN_VOWEL_ரி
உண்மை,24758,3,NOUN,NOMINAL_SUFFIX_மை
சுடர்கள்,24598,5,NOUN,BASE_NOUN_CONSONANT_ள்
சாளரம்,24552,4,NOUN,BASE_NOUN_CONSONANT_ம்
அறிவிப்பு,24462,5,NOUN,NOMINAL_SUFFIX_பு
பதவி,24340,3,NOUN,BASE_NOUN
பாடல்,24247,3,NOUN,BASE_NOUN_CONSONANT_ல்
தந்தை,24109,3,NOUN,BASE_NOUN
சூழலியல்,24037,5,NOUN,BASE_NOUN_CONSONANT_ல்
எண்ணிக்கை,23825,5,NOUN,NOMINAL_SUFFIX_கை
உரிமை,23647,3,NOUN,NOMINAL_SUFFIX_மை
சுயசரிதை,23624,5,NOUN,BASE_NOUN
கூடுதல்,23497,4,NOUN,NOMINAL_SUFFIX_தல்
உறுதி,23180,3,NOUN,NOMINAL_SUFFIX_தி
தொடர்,23097,3,NOUN,BASE_NOUN_CONSONANT_ர்
அவசியம்,23081,5,NOUN,BASE_NOUN_CONSONANT_ம்
மாற்றம்,23073,4,NOUN,BASE_NOUN_CONSONANT_ம்
கடல்,22823,3,NOUN,BASE_NOUN_CONSONANT_ல்
சதவீதம்,22769,5,NOUN,BASE_NOUN_CONSONANT_ம்
செயல்,22538,3,NOUN,BASE_NOUN_CONSONANT_ல்
ஆதரவு,22381,4,NOUN,NOMINAL_SUFFIX_வு
பிரிவு,22296,3,NOUN,NOMINAL_SUFFIX_வு
அதிபர்,22214,4,NOUN,BASE_NOUN_CONSONANT_ர்
பாடல்கள்,22134,5,NOUN,BASE_NOUN_CONSONANT_ள்
பணிகள்,22129,4,NOUN,BASE_NOUN_CONSONANT_ள்
மேலாண்மை,22065,4,NOUN,NOMINAL_SUFFIX_மை
குரல்,21679,3,NOUN,BASE_NOUN_CONSONANT_ல்
சம்பவம்,21571,5,NOUN,BASE_NOUN_CONSONANT_ம்
கூட்டணி,21549,4,NOUN,BASE_NOUN
எதிர்ப்பு,21402,5,NOUN,NOMINAL_SUFFIX_பு
உயிர்,21354,3,NOUN,BASE_NOUN_CONSONANT_ர்
முயற்சி,21297,4,NOUN,NOMINAL_SUFFIX_சி
சமூகம்,20843,4,NOUN,BASE_NOUN_CONSONANT_ம்
நகர்,20717,3,NOUN,BASE_NOUN_CONSONANT_ர்
நிலையம்,20562,4,NOUN,BASE_NOUN_CONSONANT_ம்
நாடுகள்,20440,4,NOUN,BASE_NOUN_CONSONANT_ள்
இறுதி,20407,3,NOUN,NOMINAL_SUFFIX_தி
கோன்மை,20401,3,NOUN,NOMINAL_SUFFIX_மை
மாநிலம்,20307,4,NOUN,BASE_NOUN_CONSONANT_ம்
உள்ளார்,20134,4,NOUN,BASE_NOUN_CONSONANT_ர்
தாக்குதல்,20081,5,NOUN,NOMINAL_SUFFIX_தல்
கடவுள்,19836,4,NOUN,KNOWN_BASE_NOUN
வகுப்பு,19727,4,NOUN,NOMINAL_SUFFIX_பு
தொகுதி,19688,3,NOUN,NOMINAL_SUFFIX_தி
வசதி,19586,3,NOUN,NOMINAL_SUFFIX_தி
விருது,19580,3,NOUN,BASE_NOUN_VOWEL_து
பங்கு,19460,3,NOUN,BASE_NOUN_VOWEL_கு
கவனம்,19362,4,NOUN,BASE_NOUN_CONSONANT_ம்
குற்றம்,19059,4,NOUN,BASE_NOUN_CONSONANT_ம்
நாடகம்,18905,4,NOUN,BASE_NOUN_CONSONANT_ம்
நிகழ்வு,18879,4,NOUN,NOMINAL_SUFFIX_வு
விவசாயம்,18856,5,NOUN,BASE_NOUN_CONSONANT_ம்
பொருட்கள்,18763,5,NOUN,BASE_NOUN_CONSONANT_ள்
வாசகர்,18602,4,NOUN,BASE_NOUN_CONSONANT_ர்
காட்சி,18580,3,NOUN,NOMINAL_SUFFIX_சி
ஒருநாள்,18338,4,NOUN,BASE_NOUN_CONSONANT_ள்
குறிப்பு,18015,4,NOUN,NOMINAL_SUFFIX_பு
மதிப்பு,17898,4,NOUN,NOMINAL_SUFFIX_பு
ஊழல்,17779,3,NOUN,BASE_NOUN_CONSONANT_ல்
முகம்,17756,3,NOUN,BASE_NOUN_CONSONANT_ம்
மாணவர்,17695,4,NOUN,KNOWN_BASE_NOUN
வாரம்,17521,3,NOUN,BASE_NOUN_CONSONANT_ம்
சிறுவர்,17492,4,NOUN,BASE_NOUN_CONSONANT_ர்
சக்தி,17431,3,NOUN,NOMINAL_SUFFIX_தி
குட்டி,17194,3,NOUN,BASE_NOUN
எண்ணெய்,16910,4,NOUN,BASE_NOUN_CONSONANT_ய்
பேச்சு,16850,3,NOUN,BASE_NOUN_VOWEL_சு
நிகழ்ச்சி,16835,5,NOUN,NOMINAL_SUFFIX_சி
வீரர்கள்,16707,5,NOUN,BASE_NOUN_CONSONANT_ள்
களம்,16538,3,NOUN,BASE_NOUN_CONSONANT_ம்
வேண்டுகோள்,16401,5,NOUN,BASE_NOUN_CONSONANT_ள்
சொற்கள்,16300,4,NOUN,BASE_NOUN_CONSONANT_ள்
ஏற்பாடு,16292,4,NOUN,NOMINAL_SUFFIX_டு
இவ்வளவு,16118,5,NOUN,NOMINAL_SUFFIX_வு
எண்கள்,16088,4,NOUN,BASE_NOUN_CONSONANT_ள்
நிச்சயம்,16071,5,NOUN,BASE_NOUN_CONSONANT_ம்
முத்து,16019,3,NOUN,KNOWN_BASE_NOUN
ஆளுமை,16000,3,NOUN,NOMINAL_SUFFIX_மை
நேர்காணல்,15849,5,NOUN,BASE_NOUN_CONSONANT_ல்
நடிகை,15746,3,NOUN,NOMINAL_SUFFIX_கை
பட்டம்,15676,4,NOUN,KNOWN_BASE_NOUN
குழுக்கள்,15652,5,NOUN,BASE_NOUN_CONSONANT_ள்
படங்கள்,15652,5,NOUN,BASE_NOUN_CONSONANT_ள்
திரைக்கதை,15648,5,NOUN,BASE_NOUN
தமிழர்,15499,4,NOUN,BASE_NOUN_CONSONANT_ர்
உயிரியல்,15431,5,NOUN,BASE_NOUN_CONSONANT_ல்
உரையாடல்,15342,5,NOUN,BASE_NOUN_CONSONANT_ல்
சமயம்,15267,4,NOUN,BASE_NOUN_CONSONANT_ம்
கட்டி,15194,3,NOUN,BASE_NOUN
நிர்வாகம்,15125,5,NOUN,BASE_NOUN_CONSONANT_ம்
நெருப்பு,15037,4,NOUN,NOMINAL_SUFFIX_பு
வருடம்,14976,4,NOUN,BASE_NOUN_CONSONANT_ம்
திறன்,14905,3,NOUN,BASE_NOUN_CONSONANT_ன்
செலவு,14875,3,NOUN,NOMINAL_SUFFIX_வு
மையம்,14866,3,NOUN,BASE_NOUN_CONSONANT_ம்
திகதி,14804,3,NOUN,NOMINAL_SUFFIX_தி
வழக்கம்,14765,5,NOUN,BASE_NOUN_CONSONANT_ம்
வளர்ப்பு,14743,5,NOUN,NOMINAL_SUFFIX_பு
கணிதம்,14737,4,NOUN,BASE_NOUN_CONSONANT_ம்
ஆராய்ச்சி,14713,5,NOUN,NOMINAL_SUFFIX_சி
பிறப்பு,14700,4,NOUN,NOMINAL_SUFFIX_பு
தொல்லியல்,14500,5,NOUN,BASE_NOUN_CONSONANT_ல்
முன்னணி,14439,4,NOUN,BASE_NOUN
கட்டணம்,14375,5,NOUN,BASE_NOUN_CONSONANT_ம்
கடவு,14340,3,NOUN,NOMINAL_SUFFIX_வு
நினைவு,14265,3,NOUN,NOMINAL_SUFFIX_வு
அன்பு,14251,3,NOUN,NOMINAL_SUFFIX_பு
வீரர்,14056,3,NOUN,BASE_NOUN_CONSONANT_ர்
தகுதி,13969,3,NOUN,NOMINAL_SUFFIX_தி
சூழல்,13832,3,NOUN,BASE_NOUN_CONSONANT_ல்
மருந்து,13807,4,NOUN,KNOWN_BASE_NOUN
ஆணையம்,13707,4,NOUN,BASE_NOUN_CONSONANT_ம்
வானியல்,13700,4,NOUN,BASE_NOUN_CONSONANT_ல்
முதலீடு,13659,4,NOUN,NOMINAL_SUFFIX_டு
மகளிர்,13609,4,NOUN,BASE_NOUN_CONSONANT_ர்
பயணிகள்,13603,5,NOUN,BASE_NOUN_CONSONANT_ள்
கனவு,13500,3,NOUN,NOMINAL_SUFFIX_வு
ஆர்வம்,13447,4,NOUN,BASE_NOUN_CONSONANT_ம்
நிலம்,13345,3,NOUN,BASE_NOUN_CONSONANT_ம்
ஒருவன்,13343,4,NOUN,BASE_NOUN_CONSONANT_ன்
நாகரிகம்,13328,5,NOUN,BASE_NOUN_CONSONANT_ம்
நுட்பம்,13311,4,NOUN,BASE_NOUN_CONSONANT_ம்
மரம்,13103,3,NOUN,KNOWN_BASE_NOUN
தன்மை,12851,3,NOUN,NOMINAL_SUFFIX_மை
தொழில்கள்,12817,5,NOUN,BASE_NOUN_CONSONANT_ள்
ஆளுநர்,12805,4,NOUN,BASE_NOUN_CONSONANT_ர்
மஞ்சள்,12702,4,NOUN,BASE_NOUN_CONSONANT_ள்
வேட்பாளர்,12687,5,NOUN,BASE_NOUN_CONSONANT_ர்
குடிநீர்,12683,4,NOUN,BASE_NOUN_CONSONANT_ர்
தீர்வு,12661,3,NOUN,NOMINAL_SUFFIX_வு
பிள்ளை,12642,3,NOUN,BASE_NOUN
நாடன்,12638,3,NOUN,BASE_NOUN_CONSONANT_ன்
பார்வை,12631,3,NOUN,KNOWN_BASE_NOUN
மகிழ்ச்சி,12625,5,NOUN,NOMINAL_SUFFIX_சி
மொழியியல்,12488,5,NOUN,BASE_NOUN_CONSONANT_ல்
நண்பர்,12475,4,NOUN,KNOWN_BASE_NOUN
சங்கம்,12460,4,NOUN,BASE_NOUN_CONSONANT_ம்
வேதாந்தம்,12425,5,NOUN,BASE_NOUN_CONSONANT_ம்
நகரம்,12290,4,NOUN,BASE_NOUN_CONSONANT_ம்
பெண்ணியம்,12236,5,NOUN,BASE_NOUN_CONSONANT_ம்
சிற்றிதழ்,12216,5,NOUN,BASE_NOUN_CONSONANT_ழ்
பரிசு,12207,3,NOUN,BASE_NOUN_VOWEL_சு
புகழ்,12202,3,NOUN,BASE_NOUN_CONSONANT_ழ்
இயக்கம்,12143,5,NOUN,BASE_NOUN_CONSONANT_ம்
முதுமை,12127,3,NOUN,NOMINAL_SUFFIX_மை
பாதிப்பு,12103,4,NOUN,NOMINAL_SUFFIX_பு
கட்சிகள்,12085,5,NOUN,BASE_NOUN_CONSONANT_ள்
உத்தரவு,12069,5,NOUN,NOMINAL_SUFFIX_வு
இறையியல்,12045,5,NOUN,BASE_NOUN_CONSONANT_ல்
உயர்வு,12033,4,NOUN,NOMINAL_SUFFIX_வு
எண்ணம்,12018,4,NOUN,BASE_NOUN_CONSONANT_ம்
நபர்,11991,3,NOUN,BASE_NOUN_CONSONANT_ர்
மாற்று,11969,3,NOUN,KNOWN_BASE_NOUN
பெற்றோர்,11961,4,NOUN,BASE_NOUN_CONSONANT_ர்
காற்று,11924,3,NOUN,KNOWN_BASE_NOUN
நாட்டியம்,11835,5,NOUN,BASE_NOUN_CONSONANT_ம்
இயன்,11803,3,NOUN,BASE_NOUN_CONSONANT_ன்
பனுவல்,11684,4,NOUN,BASE_NOUN_CONSONANT_ல்
பந்து,11661,3,NOUN,KNOWN_BASE_NOUN
யாப்பு,11620,3,NOUN,NOMINAL_SUFFIX_பு
கொள்கை,11575,3,NOUN,NOMINAL_SUFFIX_கை
புத்தகம்,11535,5,NOUN,BASE_NOUN_CONSONANT_ம்
குறுநாவல்,11530,5,NOUN,BASE_NOUN_CONSONANT_ல்
உறவு,11481,3,NOUN,NOMINAL_SUFFIX_வு
ஓய்வு,11477,3,NOUN,NOMINAL_SUFFIX_வு
தழுவல்,11383,4,NOUN,BASE_NOUN_CONSONANT_ல்
பொறியியல்,11353,5,NOUN,BASE_NOUN_CONSONANT_ல்
ஆய்வியல்,11341,5,NOUN,BASE_NOUN_CONSONANT_ல்
அதிபுனைவு,11279,5,NOUN,NOMINAL_SUFFIX_வு
லயம்,11257,3,NOUN,BASE_NOUN_CONSONANT_ம்
தொன்மம்,11255,4,NOUN,BASE_NOUN_CONSONANT_ம்
அதிகாரம்,11196,5,NOUN,BASE_NOUN_CONSONANT_ம்
சாவல்,11129,3,NOUN,BASE_NOUN_CONSONANT_ல்
நலவியல்,11104,5,NOUN,BASE_NOUN_CONSONANT_ல்
அழைப்பு,11079,4,NOUN,NOMINAL_SUFFIX_பு
தீர்ப்பு,11060,4,NOUN,NOMINAL_SUFFIX_பு
எதிர்,10964,3,NOUN,BASE_NOUN_CONSONANT_ர்
கணவன்,10909,4,NOUN,BASE_NOUN_CONSONANT_ன்
மரணம்,10857,4,NOUN,BASE_NOUN_CONSONANT_ம்
பயன்,10842,3,NOUN,BASE_NOUN_CONSONANT_ன்
நூற்றாண்டு,10640,5,NOUN,NOMINAL_SUFFIX_டு
அலுவலர்,10636,5,NOUN,BASE_NOUN_CONSONANT_ர்
காட்சிகள்,10629,5,NOUN,BASE_NOUN_CONSONANT_ள்
இளைஞர்,10626,4,NOUN,KNOWN_BASE_NOUN
மணல்,10605,3,NOUN,BASE_NOUN_CONSONANT_ல்
சண்டை,10544,3,NOUN,BASE_NOUN
அழகு,10516,3,NOUN,BASE_NOUN_VOWEL_கு
ஆட்டம்,10483,4,NOUN,BASE_NOUN_CONSONANT_ம்
பெருமை,10422,3,NOUN,NOMINAL_SUFFIX_மை
பச்சை,10328,3,NOUN,BASE_NOUN
முடிவுகள்,10279,5,NOUN,BASE_NOUN_CONSONANT_ள்
கல்யாணம்,10247,5,NOUN,BASE_NOUN_CONSONANT_ம்
சந்தை,10231,3,NOUN,BASE_NOUN
திருவிழா,10211,4,NOUN,BASE_NOUN
உள்ளூர்,10211,4,NOUN,BASE_NOUN_CONSONANT_ர்
வருமானம்,10116,5,NOUN,BASE_NOUN_CONSONANT_ம்
மேற்கொண்டு,10113,5,NOUN,NOMINAL_SUFFIX_டு
ஆற்றல்,10093,4,NOUN,BASE_NOUN_CONSONANT_ல்
விமானம்,10019,4,NOUN,BASE_NOUN_CONSONANT_ம்
மதம்,10005,3,NOUN,BASE_NOUN_CONSONANT_ம்
விவகாரம்,9991,5,NOUN,BASE_NOUN_CONSONANT_ம்
நூல்கள்,9949,4,NOUN,BASE_NOUN_CONSONANT_ள்
சந்தேகம்,9913,5,NOUN,BASE_NOUN_CONSONANT_ம்
கண்கள்,9906,4,NOUN,BASE_NOUN_CONSONANT_ள்
ஆணையர்,9905,4,NOUN,BASE_NOUN_CONSONANT_ர்
கழகம்,9879,4,NOUN,BASE_NOUN_CONSONANT_ம்
சுற்றுலா,9869,4,NOUN,BASE_NOUN
பாடம்,9866,3,NOUN,BASE_NOUN_CONSONANT_ம்
தொகுப்பு,9848,4,NOUN,NOMINAL_SUFFIX_பு
கணவர்,9839,4,NOUN,BASE_NOUN_CONSONANT_ர்
அழுத்தம்,9828,5,NOUN,BASE_NOUN_CONSONANT_ம்
மின்சாரம்,9664,5,NOUN,BASE_NOUN_CONSONANT_ம்
கோபம்,9633,3,NOUN,BASE_NOUN_CONSONANT_ம்
வாரியம்,9633,4,NOUN,BASE_NOUN_CONSONANT_ம்
செயலர்,9614,4,NOUN,BASE_NOUN_CONSONANT_ர்
பகுதிகள்,9575,5,NOUN,BASE_NOUN_CONSONANT_ள்
கலைஞர்,9541,4,NOUN,KNOWN_BASE_NOUN
தூரம்,9510,3,NOUN,BASE_NOUN_CONSONANT_ம்
போட்டிகள்,9502,5,NOUN,BASE_NOUN_CONSONANT_ள்
சத்தம்,9455,4,NOUN,BASE_NOUN_CONSONANT_ம்
தரம்,9454,3,NOUN,BASE_NOUN_CONSONANT_ம்
உணர்வு,9416,4,NOUN,NOMINAL_SUFFIX_வு
அதிர்ச்சி,9415,5,NOUN,NOMINAL_SUFFIX_சி
தோல்வி,9403,3,NOUN,BASE_NOUN
பறிமுதல்,9392,5,NOUN,NOMINAL_SUFFIX_தல்
ஆட்சியர்,9369,5,NOUN,BASE_NOUN_CONSONANT_ர்
தங்கம்,9367,4,NOUN,BASE_NOUN_CONSONANT_ம்
மதிப்பெண்,9353,5,NOUN,BASE_NOUN_CONSONANT_ண்
நலம்,9348,3,NOUN,BASE_NOUN_CONSONANT_ம்
வண்ணம்,9341,4,NOUN,BASE_NOUN_CONSONANT_ம்
மரியாதை,9325,4,NOUN,BASE_NOUN
கணினி,9243,3,NOUN,BASE_NOUN
வசதிகள்,9228,5,NOUN,BASE_NOUN_CONSONANT_ள்
சமையல்,9223,4,NOUN,BASE_NOUN_CONSONANT_ல்
நிறம்,9221,3,NOUN,BASE_NOUN_CONSONANT_ம்
சம்பளம்,9166,5,NOUN,BASE_NOUN_CONSONANT_ம்
குதிரை,9083,3,NOUN,KNOWN_BASE_NOUN
காட்டு,9023,3,NOUN,KNOWN_BASE_NOUN
இரட்டை,9021,4,NOUN,BASE_NOUN
நோக்கம்,9007,4,NOUN,BASE_NOUN_CONSONANT_ம்
கூட்டு,8994,3,NOUN,KNOWN_BASE_NOUN
சந்திப்பு,8927,5,NOUN,NOMINAL_SUFFIX_பு
தயாரிப்பு,8875,5,NOUN,NOMINAL_SUFFIX_பு
அமைதி,8829,3,NOUN,NOMINAL_SUFFIX_தி
ஒப்புதல்,8813,5,NOUN,NOMINAL_SUFFIX_தல்
கிராமம்,8792,4,NOUN,BASE_NOUN_CONSONANT_ம்
சொத்து,8753,3,NOUN,KNOWN_BASE_NOUN
